,date,code,capital,money_lock,money_rest,deal_action,deal_price,object_vol,fees,slippage
1596,20191213,STOCK,,0.0,,,,,,
1597,20191213,000906.XSHG,,206944234.99999997,,hold,,50000.0,,
1598,20191213,INDEX,,206944234.99999997,,,,,,
1599,20191213,ALL,369564991.0698,206944234.99999997,162620756.06980002,,,,,
1600,20191216,CASH,,,162620756.06980002,,,,,
1601,20191216,STOCK,,0.0,,,,,,
1602,20191216,000906.XSHG,,208604785.0,,hold,,50000.0,,
1603,20191216,INDEX,,208604785.0,,,,,,
1604,20191216,ALL,371225541.0698,208604785.0,162620756.06980002,,,,,
1605,20191217,CASH,,,162620756.06980002,,,,,
1606,20191217,STOCK,,0.0,,,,,,
1607,20191217,000906.XSHG,,211440440.0,,hold,,50000.0,,
1608,20191217,INDEX,,211440440.0,,,,,,
1609,20191217,ALL,374061196.0698,211440440.0,162620756.06980002,,,,,
1610,20191218,CASH,,,162620756.06980002,,,,,
1611,20191218,STOCK,,0.0,,,,,,
1612,20191218,000906.XSHG,,211072415.0,,hold,,50000.0,,
1613,20191218,INDEX,,211072415.0,,,,,,
1614,20191218,ALL,373693171.0698,211072415.0,162620756.06980002,,,,,
1615,20191219,CASH,,,162620756.06980002,,,,,
1616,20191219,STOCK,,0.0,,,,,,
1617,20191219,000906.XSHG,,210911974.99999997,,hold,,50000.0,,
1618,20191219,INDEX,,210911974.99999997,,,,,,
1619,20191219,ALL,373532731.0698,210911974.99999997,162620756.06980002,,,,,
1620,20191220,CASH,,,162620756.06980002,,,,,
1621,20191220,STOCK,,0.0,,,,,,
1622,20191220,000906.XSHG,,209967279.99999997,,hold,,50000.0,,
1623,20191220,INDEX,,209967279.99999997,,,,,,
1624,20191220,ALL,372588036.0698,209967279.99999997,162620756.06980002,,,,,
1625,20191223,CASH,,,162620756.06980002,,,,,
1626,20191223,STOCK,,0.0,,,,,,
1627,20191223,000906.XSHG,,207002745.0,,hold,,50000.0,,
1628,20191223,INDEX,,207002745.0,,,,,,
1629,20191223,ALL,369623501.0698,207002745.0,162620756.06980002,,,,,
1630,20191224,CASH,,,162620756.06980002,,,,,
1631,20191224,STOCK,,0.0,,,,,,
1632,20191224,000906.XSHG,,208781815.0,,hold,,50000.0,,
1633,20191224,INDEX,,208781815.0,,,,,,
1634,20191224,ALL,371402571.0698,208781815.0,162620756.06980002,,,,,
1635,20191225,CASH,,,162620756.06980002,,,,,
1636,20191225,STOCK,,0.0,,,,,,
1637,20191225,000906.XSHG,,208901204.99999997,,hold,,50000.0,,
1638,20191225,INDEX,,208901204.99999997,,,,,,
1639,20191225,ALL,371521961.0698,208901204.99999997,162620756.06980002,,,,,
1640,20191226,CASH,,,162620756.06980002,,,,,
1641,20191226,STOCK,,0.0,,,,,,
1642,20191226,000906.XSHG,,210647359.99999997,,hold,,50000.0,,
1643,20191226,INDEX,,210647359.99999997,,,,,,
1644,20191226,ALL,373268116.0698,210647359.99999997,162620756.06980002,,,,,
1645,20191227,CASH,,,162620756.06980002,,,,,
1646,20191227,STOCK,,0.0,,,,,,
1647,20191227,000906.XSHG,,210104665.00000003,,hold,,50000.0,,
1648,20191227,INDEX,,210104665.00000003,,,,,,
1649,20191227,ALL,372725421.0698,210104665.00000003,162620756.06980002,,,,,
1650,20191230,CASH,,,162620756.06980002,,,,,
1651,20191230,STOCK,,0.0,,,,,,
1652,20191230,000906.XSHG,,213083370.0,,hold,,50000.0,,
1653,20191230,INDEX,,213083370.0,,,,,,
