,date,code,type,hold_vol,hold_days
267,20190417,600436.XSHG,STOCK,100,52
268,20190417,000906.XSHG,INDEX,50000,72
269,20190418,600031.XSHG,STOCK,100000,71
270,20190418,600519.XSHG,STOCK,165200,66
271,20190418,600436.XSHG,STOCK,100,53
272,20190418,000906.XSHG,INDEX,50000,73
273,20190419,600031.XSHG,STOCK,100000,72
274,20190419,600519.XSHG,STOCK,165200,67
275,20190419,600436.XSHG,STOCK,100,54
276,20190419,000906.XSHG,INDEX,50000,74
277,20190422,600031.XSHG,STOCK,100000,73
278,20190422,600519.XSHG,STOCK,165200,68
279,20190422,600436.XSHG,STOCK,100,55
280,20190422,000906.XSHG,INDEX,50000,75
281,20190423,600031.XSHG,STOCK,100000,74
282,20190423,600519.XSHG,STOCK,165200,69
283,20190423,600436.XSHG,STOCK,100,56
284,20190423,000906.XSHG,INDEX,50000,76
285,20190424,600031.XSHG,STOCK,100000,75
286,20190424,600519.XSHG,STOCK,165200,70
287,20190424,600436.XSHG,STOCK,100,57
288,20190424,000906.XSHG,INDEX,50000,77
289,20190425,600031.XSHG,STOCK,100000,76
290,20190425,600519.XSHG,STOCK,165200,71
291,20190425,600436.XSHG,STOCK,100,58
292,20190425,000906.XSHG,INDEX,50000,78
293,20190426,600031.XSHG,STOCK,100000,77
294,20190426,600519.XSHG,STOCK,165200,72
295,20190426,600436.XSHG,STOCK,100,59
296,20190426,000906.XSHG,INDEX,50000,79
297,20190429,600031.XSHG,STOCK,100000,78
298,20190429,600519.XSHG,STOCK,165200,73
299,20190429,600436.XSHG,STOCK,100,60
300,20190429,000906.XSHG,INDEX,50000,80
301,20190430,600519.XSHG,STOCK,165200,74
302,20190430,600436.XSHG,STOCK,100,61
303,20190430,000906.XSHG,INDEX,50000,81
304,20190506,600519.XSHG,STOCK,165200,75
305,20190506,600436.XSHG,STOCK,100,62
306,20190506,000906.XSHG,INDEX,50000,82
307,20190507,600519.XSHG,STOCK,165200,76
308,20190507,600436.XSHG,STOCK,100,63
309,20190507,000906.XSHG,INDEX,50000,83
310,20190508,600519.XSHG,STOCK,165200,77
311,20190508,600436.XSHG,STOCK,100,64
312,20190508,000906.XSHG,INDEX,50000,84
313,20190509,600519.XSHG,STOCK,165200,78
314,20190509,600436.XSHG,STOCK,100,65
315,20190509,000906.XSHG,INDEX,50000,85
316,20190510,600519.XSHG,STOCK,165200,79
317,20190510,600276.XSHG,STOCK,19200,0
318,20190510,000906.XSHG,INDEX,50000,86
319,20190513,600519.XSHG,STOCK,165200,80
320,20190513,600276.XSHG,STOCK,19200,1
321,20190513,000906.XSHG,INDEX,50000,87
322,20190514,600519.XSHG,STOCK,165200,81
323,20190514,600276.XSHG,STOCK,19200,2
324,20190514,000906.XSHG,INDEX,50000,88
325,20190515,600519.XSHG,STOCK,165200,82
326,20190515,600276.XSHG,STOCK,19200,3
327,20190515,000906.XSHG,INDEX,50000,89
328,20190516,600519.XSHG,STOCK,165200,83
329,20190516,600276.XSHG,STOCK,19200,4
330,20190516,000906.XSHG,INDEX,50000,90
331,20190517,600519.XSHG,STOCK,165200,84
332,20190517,600276.XSHG,STOCK,19200,5
333,20190517,000906.XSHG,INDEX,50000,91
334,20190520,600519.XSHG,STOCK,165200,85
335,20190520,000906.XSHG,INDEX,50000,92
336,20190521,600519.XSHG,STOCK,165200,86
337,20190521,000906.XSHG,INDEX,50000,93
338,20190522,600519.XSHG,STOCK,165200,87
339,20190522,000906.XSHG,INDEX,50000,94
340,20190523,600519.XSHG,STOCK,165200,88
341,20190523,000906.XSHG,INDEX,50000,95
342,20190524,603288.XSHG,STOCK,1561100,0
343,20190524,000906.XSHG,INDEX,50000,96
344,20190527,603288.XSHG,STOCK,1561100,1
345,20190527,000906.XSHG,INDEX,50000,97
346,20190528,603288.XSHG,STOCK,1561100,2
347,20190528,000906.XSHG,INDEX,50000,98
348,20190529,603288.XSHG,STOCK,1561100,3
349,20190529,000906.XSHG,INDEX,50000,99
350,20190530,603288.XSHG,STOCK,1561100,4
351,20190530,000906.XSHG,INDEX,50000,100
352,20190531,603288.XSHG,STOCK,1561100,5
353,20190531,000906.XSHG,INDEX,50000,101
354,20190603,603288.XSHG,STOCK,1561100,6
355,20190603,000906.XSHG,INDEX,50000,102
356,20190604,603288.XSHG,STOCK,1561100,7
357,20190604,000906.XSHG,INDEX,50000,103
358,20190605,603288.XSHG,STOCK,1561100,8
359,20190605,000906.XSHG,INDEX,50000,104
360,20190606,603288.XSHG,STOCK,1561100,9
361,20190606,000906.XSHG,INDEX,50000,105
362,20190610,603288.XSHG,STOCK,1561100,10
363,20190610,000906.XSHG,INDEX,50000,106
364,20190611,603288.XSHG,STOCK,1561100,11
365,20190611,000906.XSHG,INDEX,50000,107
366,20190612,603288.XSHG,STOCK,1561100,12
367,20190612,000906.XSHG,INDEX,50000,108
368,20190613,603288.XSHG,STOCK,1561100,13
369,20190613,000906.XSHG,INDEX,50000,109
370,20190614,603288.XSHG,STOCK,1561100,14
371,20190614,000906.XSHG,INDEX,50000,110
372,20190617,603288.XSHG,STOCK,1561100,15
373,20190617,600031.XSHG,STOCK,400,0
374,20190617,000906.XSHG,INDEX,50000,111
375,20190618,603288.XSHG,STOCK,1561100,16
376,20190618,600031.XSHG,STOCK,400,1
377,20190618,000906.XSHG,INDEX,50000,112
378,20190619,603288.XSHG,STOCK,1561100,17
379,20190619,600031.XSHG,STOCK,400,2
380,20190619,000906.XSHG,INDEX,50000,113
381,20190620,603288.XSHG,STOCK,1561100,18
382,20190620,600031.XSHG,STOCK,400,3
383,20190620,000906.XSHG,INDEX,50000,114
384,20190621,603288.XSHG,STOCK,1561100,19
385,20190621,600031.XSHG,STOCK,400,4
386,20190621,000906.XSHG,INDEX,50000,115
387,20190624,603288.XSHG,STOCK,1561100,20
388,20190624,600031.XSHG,STOCK,400,5
389,20190624,000906.XSHG,INDEX,50000,116
390,20190625,603288.XSHG,STOCK,1561100,21
391,20190625,600031.XSHG,STOCK,400,6
392,20190625,000906.XSHG,INDEX,50000,117
393,20190626,603288.XSHG,STOCK,1561100,22
394,20190626,600031.XSHG,STOCK,400,7
395,20190626,000906.XSHG,INDEX,50000,118
396,20190627,603288.XSHG,STOCK,1561100,23
